City,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10
Boston,7,6,6,5,6,3,1,5,1,4
Boston,7,7,6,7,7,5,4,6,4,6
Boston,7,7,7,7,7,7,1,4,5,7
Boston,7,7,7,7,7,7,4,7,4,7
Boston,6,5,5,5,6,3,3,1,3,5
Boston,7,7,7,7,7,7,7,7,7,7
Boston,7,7,6,7,7,5,4,7,2,4
Boston,7,7,7,7,7,1,1,2,2,7
Boston,7,7,7,7,7,4,4,7,4,4
Boston,7,7,6,6,6,4,2,4,7,4
Boston,7,6,2,6,7,4,1,4,2,4
Denver,7,7,7,7,7,7,5,5,5,7
Denver,7,6,5,6,6,6,5,2,5,4
Denver,7,7,6,7,7,4,3,5,3,4
Boston,7,7,7,7,7,4,7,4,7,4
Denver,7,6,7,6,7,6,5,5,5,5
Denver,7,7,7,7,7,5,6,6,5,6
Denver,7,7,7,7,7,6,6,7,6,6
Denver,7,7,7,7,7,7,7,7,7,7
Denver,1,1,7,7,7,4,3,3,5,1
Denver,7,1,6,7,7,5,4,3,3,4
Denver,3,5,4,5,5,6,2,4,4,4
Denver,7,7,7,7,7,4,4,6,4,4
Denver,7,7,7,7,7,7,6,6,6,6
Denver,7,7,7,7,7,6,6,7,5,5
Denver,6,5,4,5,6,4,2,4,4,4
Denver,7,7,7,7,7,6,6,7,6,6
Denver,7,6,6,7,7,3,3,3,6,5
Boston,4,4,1,4,4,7,1,4,2,2
Boston,4,3,4,4,1,1,1,1,1,1
Boston,5,6,6,4,6,2,2,2,2,4
Boston,2,4,4,5,7,2,1,4,2,2
Boston,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boston,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Denver,7,7,7,7,7,4,4,6,4,4
Denver,1,1,1,1,1,1,1,1,1,1
Los Angeles,6,5,4,5,6,4,3,4,4,4
Boston,7,7,7,7,7,4,4,7,4,4
Los Angeles,6,6,5,6,7,6,7,7,7,6
Los Angeles,4,2,3,4,3,6,2,2,2,2
Los Angeles,7,7,7,7,7,5,5,5,6,5
Los Angeles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Denver,7,7,7,7,7,4,4,4,4,6
Los Angeles,6,6,5,6,7,5,4,6,4,5
Los Angeles,7,7,7,7,7,7,7,7,7,7
Los Angeles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
